algorithm, matrix_size, time
c_naive_multiplication, 600, 1.555587
c_naive_multiplication, 800, 3.018449
c_naive_multiplication, 1000, 17.920160
c_naive_multiplication, 1200, 11.488708
c_naive_multiplication, 1400, 21.859547
c_naive_multiplication, 1600, 35.334422
c_naive_multiplication, 1800, 50.159514
c_naive_multiplication, 600, 1.228535
c_naive_multiplication, 800, 3.153431
c_naive_multiplication, 1000, 7.868281
c_naive_multiplication, 1200, 11.885465
c_naive_multiplication, 1400, 19.426852
c_naive_multiplication, 1600, 31.168460
c_naive_multiplication, 1800, 48.116121
c_naive_multiplication, 600, 1.151138
c_naive_multiplication, 800, 3.028207
c_naive_multiplication, 1000, 14.749548
c_naive_multiplication, 1200, 10.977992
c_naive_multiplication, 1400, 21.623922
c_naive_multiplication, 1600, 31.148019
c_naive_multiplication, 1800, 50.635594
c_better_multiplication, 600, 0.630512
c_better_multiplication, 800, 1.463432
c_better_multiplication, 1000, 2.836645
c_better_multiplication, 1200, 4.935019
c_better_multiplication, 1400, 9.382355
c_better_multiplication, 1600, 12.018328
c_better_multiplication, 1800, 16.944020
c_better_multiplication, 600, 0.642719
c_better_multiplication, 800, 1.480778
c_better_multiplication, 1000, 2.890232
c_better_multiplication, 1200, 5.062294
c_better_multiplication, 1400, 8.023036
c_better_multiplication, 1600, 11.951448
c_better_multiplication, 1800, 17.099468
c_better_multiplication, 600, 0.615782
c_better_multiplication, 800, 1.460703
c_better_multiplication, 1000, 2.847371
c_better_multiplication, 1200, 4.933530
c_better_multiplication, 1400, 7.944657
c_better_multiplication, 1600, 11.750365
c_better_multiplication, 1800, 16.666586
c_GSL_multiplication, 600, 0.132072
c_GSL_multiplication, 800, 0.337744
c_GSL_multiplication, 1000, 0.636811
c_GSL_multiplication, 1200, 1.106854
c_GSL_multiplication, 1400, 1.739696
c_GSL_multiplication, 1600, 2.630269
c_GSL_multiplication, 1800, 3.755747
c_GSL_multiplication, 600, 0.133678
c_GSL_multiplication, 800, 0.329032
c_GSL_multiplication, 1000, 0.645342
c_GSL_multiplication, 1200, 1.103307
c_GSL_multiplication, 1400, 1.958767
c_GSL_multiplication, 1600, 2.615012
c_GSL_multiplication, 1800, 3.817533
c_GSL_multiplication, 600, 0.144346
c_GSL_multiplication, 800, 0.338713
c_GSL_multiplication, 1000, 0.631114
c_GSL_multiplication, 1200, 1.105123
c_GSL_multiplication, 1400, 1.742579
c_GSL_multiplication, 1600, 2.597182
c_GSL_multiplication, 1800, 4.003331
